building,num_round,learning_rate,min_child_weight,max_depth,colsample_bytree,subsample,alpha,wmse_weight,smape
1.0,838.0,0.01,8.0,7.0,0.9,0.8,0.001,10.0,0.36819090601056814
2.0,2919.0,0.01,9.0,7.0,0.9,0.9,100.0,1.0,0.41846376843750477
3.0,1064.0,0.01,9.0,8.0,0.9,0.9,1.0,1.0,0.5894414614886045
4.0,657.0,0.01,7.0,8.0,0.9,0.9,0.0,1.0,0.18165220972150564
5.0,1905.0,0.01,10.0,7.0,0.9,0.8,10.0,1.0,0.43016267009079456
6.0,1278.0,0.01,10.0,7.0,0.9,0.8,10.0,10.0,0.25616001803427935
7.0,1698.0,0.01,9.0,7.0,0.9,0.8,1.0,10.0,0.48951967619359493
8.0,1741.0,0.01,9.0,8.0,0.9,0.8,1.0,1.0,0.0983245437964797
9.0,2425.0,0.01,9.0,9.0,0.9,0.9,100.0,1.0,0.2688351087272167
10.0,752.0,0.01,9.0,10.0,0.9,0.9,1.0,1.0,0.25619412772357464
11.0,2278.0,0.01,9.0,9.0,0.9,0.8,0.0,1.0,0.1050909049808979
12.0,1376.0,0.01,10.0,9.0,0.9,0.8,1.0,1.0,0.15675465110689402
13.0,1927.0,0.01,7.0,10.0,0.8,0.9,100.0,1.0,0.2941156504675746
14.0,594.0,0.01,7.0,8.0,0.9,0.9,1.0,1.0,0.7533467374742031
15.0,1351.0,0.01,7.0,8.0,0.9,0.8,0.01,1.0,0.1831086934544146
16.0,978.0,0.01,7.0,9.0,0.9,0.8,10.0,1.0,0.2103466773405671
17.0,1023.0,0.01,9.0,7.0,0.9,0.9,0.0,25.0,0.4418778233230114
18.0,1227.0,0.01,7.0,10.0,0.9,0.8,1.0,25.0,0.4900100640952587
19.0,1061.0,0.01,8.0,7.0,0.9,0.9,0.0,100.0,0.5506237968802452
20.0,1174.0,0.01,8.0,8.0,0.9,0.9,0.01,10.0,0.38725766353309155
21.0,1350.0,0.01,7.0,8.0,0.9,0.9,1.0,1.0,0.527275400236249
22.0,949.0,0.01,10.0,7.0,0.9,0.8,1.0,75.0,0.1930883270688355
23.0,1170.0,0.01,9.0,8.0,0.9,0.9,0.01,10.0,0.10882546193897724
24.0,1205.0,0.01,10.0,9.0,0.9,0.8,0.0,75.0,0.18648752011358738
25.0,1177.0,0.01,9.0,8.0,0.9,0.9,0.01,25.0,0.17419971991330385
26.0,1113.0,0.01,8.0,8.0,0.9,0.9,1.0,50.0,0.2138985088095069
27.0,1214.0,0.01,7.0,9.0,0.9,0.8,100.0,25.0,0.1690370379947126
28.0,844.0,0.01,7.0,7.0,0.9,0.8,0.01,1.0,0.2683037193492055
29.0,1452.0,0.01,9.0,9.0,0.9,0.9,0.001,1.0,0.3046084428206086
30.0,1201.0,0.01,9.0,7.0,0.9,0.8,10.0,25.0,0.6012391299009323
31.0,639.0,0.01,8.0,9.0,0.9,0.8,1.0,10.0,0.3334721317514777
32.0,987.0,0.01,8.0,9.0,0.9,0.9,0.01,1.0,0.020960353140253574
33.0,1165.0,0.01,7.0,8.0,0.9,0.8,0.01,1.0,0.0068005458160769194
34.0,1496.0,0.01,8.0,8.0,0.9,0.8,0.01,10.0,0.02703982754610479
35.0,1784.0,0.01,9.0,7.0,0.9,0.8,0.0,1.0,0.009786816372070462
36.0,1798.0,0.01,8.0,7.0,0.9,0.9,0.01,1.0,0.007490738062188029
37.0,920.0,0.01,8.0,9.0,0.9,0.8,0.001,1.0,0.18633916042745113
38.0,924.0,0.01,8.0,8.0,0.9,0.8,10.0,1.0,0.27477017138153315
39.0,1258.0,0.01,8.0,8.0,0.9,0.8,1.0,1.0,0.19498190376907587
40.0,868.0,0.01,7.0,7.0,0.9,0.9,1.0,1.0,0.5679956637322903
41.0,1641.0,0.01,9.0,7.0,0.9,0.8,100.0,1.0,0.21977056749165058
42.0,756.0,0.01,8.0,8.0,0.9,0.9,1.0,1.0,1.3847989961504936
43.0,1262.0,0.01,9.0,7.0,0.9,0.8,0.001,1.0,0.2551132347434759
44.0,637.0,0.01,7.0,8.0,0.9,0.9,0.01,1.0,0.2448319224640727
45.0,1367.0,0.01,8.0,10.0,0.9,0.8,1.0,1.0,0.12578172609210014
46.0,1694.0,0.01,10.0,8.0,0.9,0.8,1.0,1.0,0.18160929903388023
47.0,1448.0,0.01,7.0,10.0,0.9,0.9,10.0,1.0,0.23289253003895283
48.0,1450.0,0.01,8.0,8.0,0.9,0.8,0.01,1.0,0.1375845866277814
49.0,1653.0,0.01,10.0,10.0,0.9,0.9,100.0,10.0,0.19624067936092615
50.0,2047.0,0.01,7.0,8.0,0.9,0.9,100.0,1.0,0.1330941915512085
51.0,2450.0,0.01,8.0,9.0,0.9,0.9,100.0,1.0,0.23943993728607893
52.0,1063.0,0.01,9.0,8.0,0.9,0.8,0.0,10.0,0.15554034616798162
53.0,877.0,0.01,9.0,7.0,0.9,0.9,0.01,100.0,0.7828344590961933
54.0,965.0,0.01,8.0,7.0,0.9,0.8,1.0,1.0,2.3274321109056473
55.0,1388.0,0.01,9.0,10.0,0.9,0.8,1.0,1.0,0.086170993745327
56.0,1384.0,0.01,7.0,7.0,0.9,0.8,0.0,1.0,0.04172766057308763
57.0,1448.0,0.01,7.0,8.0,0.9,0.8,1.0,1.0,0.2195123815909028
58.0,1211.0,0.01,10.0,8.0,0.9,0.8,0.001,1.0,0.009315522765973583
59.0,833.0,0.01,10.0,7.0,0.9,0.9,0.01,75.0,0.3695669583976269
60.0,1452.0,0.01,7.0,9.0,0.9,0.9,0.01,1.0,0.3446326358243823
61.0,1380.0,0.01,8.0,10.0,0.9,0.8,100.0,1.0,0.268290052190423
62.0,1753.0,0.01,8.0,10.0,0.9,0.8,0.001,1.0,0.3080550814047456
63.0,1128.0,0.01,8.0,7.0,0.9,0.8,100.0,25.0,0.4202399402856827
64.0,725.0,0.01,9.0,8.0,0.9,0.9,100.0,75.0,0.31083691865205765
65.0,1326.0,0.01,7.0,7.0,0.9,0.9,10.0,1.0,0.6032862700521946
66.0,1174.0,0.01,8.0,10.0,0.9,0.8,0.01,10.0,0.3331112675368786
67.0,561.0,0.01,8.0,10.0,0.9,0.9,0.001,1.0,0.3780797589570284
68.0,755.0,0.01,9.0,10.0,0.9,0.9,0.01,1.0,0.27559834998100996
69.0,728.0,0.01,10.0,10.0,0.9,0.8,0.001,10.0,0.17832405865192413
70.0,1117.0,0.01,10.0,10.0,0.9,0.8,1.0,10.0,0.34688967280089855
71.0,954.0,0.01,10.0,8.0,0.9,0.9,1.0,1.0,0.38156977389007807
72.0,1831.0,0.01,7.0,9.0,0.9,0.8,10.0,1.0,0.3341455478221178
73.0,736.0,0.01,8.0,9.0,0.9,0.8,0.01,10.0,0.1626201905310154
74.0,1154.0,0.01,8.0,8.0,0.9,0.8,1.0,100.0,0.47622760757803917
75.0,1012.0,0.01,8.0,8.0,0.9,0.8,1.0,1.0,0.1701779430732131
76.0,1503.0,0.01,7.0,10.0,0.9,0.8,1.0,1.0,0.2362751169130206
77.0,1035.0,0.01,9.0,8.0,0.9,0.8,0.01,10.0,0.17296932637691498
78.0,1177.0,0.01,7.0,10.0,0.9,0.8,10.0,25.0,0.32909803558140993
79.0,1589.0,0.01,7.0,7.0,0.9,0.9,0.0,1.0,0.2722528297454119
80.0,1179.0,0.01,10.0,10.0,0.9,0.8,0.0,1.0,0.27994904667139053
81.0,1125.0,0.01,9.0,7.0,0.9,0.8,0.01,1.0,0.18051497172564268
82.0,1158.0,0.01,9.0,7.0,0.9,0.9,1.0,10.0,0.42930152267217636
83.0,1167.0,0.01,8.0,9.0,0.9,0.9,1.0,50.0,0.3300412092357874
84.0,1296.0,0.01,9.0,10.0,0.9,0.8,10.0,50.0,0.3459519939497113
85.0,1214.0,0.01,7.0,10.0,0.9,0.9,0.001,1.0,0.12860887218266726
86.0,1324.0,0.01,9.0,9.0,0.9,0.8,0.0,1.0,0.2890888135880232
87.0,1460.0,0.01,10.0,7.0,0.9,0.9,10.0,1.0,0.41094510816037655
88.0,1271.0,0.01,7.0,7.0,0.9,0.9,10.0,10.0,0.31412739772349596
89.0,1005.0,0.01,8.0,7.0,0.9,0.9,0.01,10.0,0.4448144696652889
90.0,924.0,0.01,10.0,9.0,0.9,0.9,0.01,1.0,0.3810335183516145
91.0,2648.0,0.01,9.0,9.0,0.9,0.8,100.0,1.0,0.5255642347037792
92.0,1112.0,0.01,8.0,8.0,0.9,0.8,0.0,100.0,0.21826899610459805
93.0,2385.0,0.01,10.0,7.0,0.9,0.8,1.0,1.0,0.2106978092342615
94.0,1270.0,0.01,9.0,10.0,0.9,0.9,0.0,1.0,0.3537168027833104
95.0,1213.0,0.01,7.0,8.0,0.9,0.8,100.0,10.0,0.8294329978525639
96.0,706.0,0.01,10.0,9.0,0.9,0.9,1.0,1.0,0.2123126294463873
97.0,1024.0,0.01,9.0,9.0,0.9,0.8,0.01,1.0,0.2886382630094886
98.0,1447.0,0.01,8.0,7.0,0.9,0.8,1.0,1.0,0.533392746001482
99.0,724.0,0.01,10.0,9.0,0.9,0.9,10.0,1.0,0.22149456199258566
100.0,3034.0,0.01,8.0,8.0,0.9,0.8,1.0,1.0,0.2477445174008608
